Disease,roc_auc,accuracy,precision,recall,f1,mcc,tpr,tnr
DR,0.9625,0.9109,0.7698,0.8106,0.7897,0.7336,0.8106,0.937
ARMD,0.9608,0.9438,0.5179,0.7632,0.617,0.6008,0.7632,0.9551
MH,0.9599,0.9094,0.6642,0.8725,0.7542,0.7097,0.8725,0.9164
DN,0.8355,0.8922,0.338,0.5217,0.4103,0.364,0.5217,0.9209
MYA,0.9892,0.9641,0.6122,0.8824,0.7229,0.7178,0.8824,0.9686
BRVO,0.9712,0.9672,0.5294,0.7826,0.6316,0.628,0.7826,0.9741
TSLN,0.9527,0.9172,0.5682,0.7692,0.6536,0.6168,0.7692,0.9339
ODC,0.869,0.8859,0.4945,0.625,0.5521,0.4922,0.625,0.919
ODP,0.7192,0.8891,0.1186,0.2692,0.1647,0.1259,0.2692,0.9153
ODE,0.9531,0.9766,0.6875,0.5238,0.5946,0.5885,0.5238,0.9919
