Disease,F1_Score,Precision,Recall,ROC_AUC,MCC,TPR,TNR
DR,0.7719,0.9167,0.6667,0.9625,0.7376,0.6667,0.9843
MH,0.7391,0.8293,0.6667,0.9599,0.7016,0.6667,0.974
ODC,0.3368,0.6957,0.2222,0.869,0.3563,0.2222,0.9877
TSLN,0.4842,0.7667,0.3538,0.9527,0.4883,0.3538,0.9878
DN,0.4,0.6842,0.2826,0.8355,0.4147,0.2826,0.9899
MYA,0.6786,0.8636,0.5588,0.9892,0.6818,0.5588,0.995
ARMD,0.4231,0.7857,0.2895,0.9608,0.4596,0.2895,0.995
BRVO,0.5143,0.75,0.3913,0.9712,0.5303,0.3913,0.9951
ODP,0.0,0.0,0.0,0.7192,-0.0081,0.0,0.9984
ODE,0.3077,0.8,0.1905,0.9531,0.3821,0.1905,0.9984
